cell_id,shard_id,shard_index,scenario,scale,seed,episode_id,strict_identity_metrics_available,strict_identity_metrics_reason,blocker_mapping_event_count,blocking_mapping_count,producer_replay_verified,source_hashes_verified,episode_identity_verified,online_truth_isolation_verified,strict_unavailable_preserved,unavailable_backfilled_as_zero,lineage_time_window_s,identity_commitment_freshness_window_s,causal_classification_counts,commitment_reason_counts,modality_transition_counts,case_json_relative_path,case_json_sha256,case_csv_relative_path,case_csv_sha256
00061__r0__nominal__100v100__seed_1001,shard_001_of_020,1,nominal,100,1001,nominal_100v100-s1001-fe3ae4b88ec4-r825782086de6,False,multiple_truth_targets_for_global_track,1,1,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 1},{'fresh_original_observation_accepted': 1},{'radar->camera': 1},cases/00061__r0__nominal__100v100__seed_1001.json,sha256:7990aa4b639238c1ebce272c8c5c0db8ebfd9cc47c0230dd577ed17e359eba55,cases/00061__r0__nominal__100v100__seed_1001.csv,sha256:fc41dfc578bf0abc6ec9fad0fa339f341680d1e831496d850e146e4b9992db97
00064__r0__nominal__100v100__seed_1004,shard_004_of_020,4,nominal,100,1004,nominal_100v100-s1004-23234ca82bf8-r825782086de6,False,source_observation_outside_lineage_window,99,99,True,True,True,True,True,False,0.9,0.9,{'historical_lineage_only_stale': 99},{'fresh_original_observation_accepted': 99},"{'camera+radar->radar': 4, 'radar->radar': 95}",cases/00064__r0__nominal__100v100__seed_1004.json,sha256:f7ecf9ba924821a39f4109c24bcb5f1d65a49d37154ea9ed4b934813deb4ba86,cases/00064__r0__nominal__100v100__seed_1004.csv,sha256:ef7da8be846548d30cd25c4d94f86dbe25f3439190e1527afab11e9d29bca848
00080__r0__nominal__200v200__seed_1000,shard_000_of_020,0,nominal,200,1000,nominal_200v200-s1000-2532a1553b14-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,1,1,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 1},{'fresh_original_observation_accepted': 1},{'radar->camera': 1},cases/00080__r0__nominal__200v200__seed_1000.json,sha256:d3c4b7408cad14130bda2116ee80f3555c37209f12571b9121ce58e8e84b2904,cases/00080__r0__nominal__200v200__seed_1000.csv,sha256:c2715282f7900c349309a7e8cf47d048a467d710fdcb5095b463d4d49da74925
00081__r0__nominal__200v200__seed_1001,shard_001_of_020,1,nominal,200,1001,nominal_200v200-s1001-efdee3ec6cb2-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,2,2,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 2},{'fresh_original_observation_accepted': 2},{'radar->radar': 2},cases/00081__r0__nominal__200v200__seed_1001.json,sha256:ba7383451026e4187b192ae7dca63444543bd895cc2f0ee923c87d70b3ff6f6b,cases/00081__r0__nominal__200v200__seed_1001.csv,sha256:383150f5326af8398255afeeadb5cabd169e034af4ab9038853ed7af719553d8
00083__r0__nominal__200v200__seed_1003,shard_003_of_020,3,nominal,200,1003,nominal_200v200-s1003-5067678fef84-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,1,1,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 1},{'fresh_original_observation_accepted': 1},{'radar->camera': 1},cases/00083__r0__nominal__200v200__seed_1003.json,sha256:b7bc325683c1c3558e86e669955deb95abe020ac96e825d9dca096ec096ac518,cases/00083__r0__nominal__200v200__seed_1003.csv,sha256:b7a06952baf0ec7ece19562e985bb76627103b1c130ab103a7e1e38834becd03
00089__r0__nominal__200v200__seed_1009,shard_009_of_020,9,nominal,200,1009,nominal_200v200-s1009-af52f5e79057-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,1,1,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 1},{'fresh_original_observation_accepted': 1},{'radar->camera': 1},cases/00089__r0__nominal__200v200__seed_1009.json,sha256:0bd69a36d4bf7a4a5523454847ea96b25eadb0db0e58575e41418eb89c510ebb,cases/00089__r0__nominal__200v200__seed_1009.csv,sha256:7caa4fdb89a6e5d1ae5fbd80e2d13195b9b421df5b9806347b271350da4a3227
00161__r0__dense_crossing__100v100__seed_1001,shard_001_of_020,1,dense_crossing,100,1001,dense_crossing_100v100-s1001-a7a6ff5f3c32-r825782086de6,False,multiple_truth_targets_for_global_track,1,1,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 1},{'fresh_original_observation_accepted': 1},{'radar->camera': 1},cases/00161__r0__dense_crossing__100v100__seed_1001.json,sha256:25c6d5a2ddacd0ac5485c5ab3eb84b45321521000a26723bc7ea65c2c15eab1d,cases/00161__r0__dense_crossing__100v100__seed_1001.csv,sha256:e7f08c86a7c7ccb5a3988b13ae6f036a49b47c4923a643c300105a35323e436f
00181__r0__dense_crossing__200v200__seed_1001,shard_001_of_020,1,dense_crossing,200,1001,dense_crossing_200v200-s1001-6b60b11a421a-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,2,2,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 2},{'fresh_original_observation_accepted': 2},{'radar->radar': 2},cases/00181__r0__dense_crossing__200v200__seed_1001.json,sha256:3ce48a2ea3881de2dd8cd60bc6d3a721ae894e04a47c5de5ee9ad1ca1838f6be,cases/00181__r0__dense_crossing__200v200__seed_1001.csv,sha256:33c20e3af28d119dbd676af49ec10ad23aa431e79bfb36dbe9e4c59257d634ef
00183__r0__dense_crossing__200v200__seed_1003,shard_003_of_020,3,dense_crossing,200,1003,dense_crossing_200v200-s1003-71774462a87e-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,1,1,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 1},{'fresh_original_observation_accepted': 1},{'radar->camera': 1},cases/00183__r0__dense_crossing__200v200__seed_1003.json,sha256:387ff10cfe31b234e23d9b24b2622c70ce6a2aaed185160b39214abefa37b7bb,cases/00183__r0__dense_crossing__200v200__seed_1003.csv,sha256:ecce11ab6aa0ea6f89f1b783ce34fd8dbc47583443e446f46fbbda9ae1193cd9
00185__r0__dense_crossing__200v200__seed_1005,shard_005_of_020,5,dense_crossing,200,1005,dense_crossing_200v200-s1005-b46a78eecdf7-r8aa45cff0bb4,False,multiple_truth_targets_for_global_track,1,1,True,True,True,True,True,False,0.9,0.9,{'newest_observation_introduced_new_truth': 1},{'fresh_original_observation_accepted': 1},{'radar->camera': 1},cases/00185__r0__dense_crossing__200v200__seed_1005.json,sha256:b0dda1f4ffefb8373994ff683e7289f79731eddbb05f67fa4dc0e61ba3c16f3d,cases/00185__r0__dense_crossing__200v200__seed_1005.csv,sha256:b7aaf88f6512b8d7d38486c24149d661f5dcc893a35bca6d38ac37dcc529b4b7
