document,line,caption,path,resolved_path,status,git_status,sha256,bytes
deliverables/leadership_report/ACTIVE_DEGRADATION_SECONDARY_DISTRIBUTED_ASSIGNMENT_REPORT_CN.md,17,三级火力指挥控制结构,assets/fire_command_three_level_structure.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/fire_command_three_level_structure.png,present,tracked,b2d1be1be6bdff693f264590a60a3de1eac57dbb41a441db564310e98579aeb6,568268
deliverables/leadership_report/ACTIVE_DEGRADATION_SECONDARY_DISTRIBUTED_ASSIGNMENT_REPORT_CN.md,49,主动降级与分级目标分配流程,assets/fire_command_control_flow.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/fire_command_control_flow.png,present,tracked,3ba20bbf4976ab907dfc0398778152d0bc536c98b6dc8c9a51aab7768b95437b,706622
deliverables/leadership_report/ACTIVE_DEGRADATION_SECONDARY_DISTRIBUTED_ASSIGNMENT_REPORT_CN.md,99,降级后的算法路线,assets/degraded_algorithm_route.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/degraded_algorithm_route.png,present,tracked,c15bd8d9fa4133c456b19fbe0c49dd5fa76510acd73b3c7117807c85b077a216,561372
deliverables/leadership_report/ACTIVE_DEGRADATION_SECONDARY_DISTRIBUTED_ASSIGNMENT_REPORT_CN.md,115,二级节点重新分配原理,assets/secondary_assignment_principle.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/secondary_assignment_principle.png,present,tracked,f5102ab4d7ee8570faa787eaa64a19aa25ff9e268aa866be1c6ea3315827dc03,532510
deliverables/leadership_report/ACTIVE_DEGRADATION_SECONDARY_DISTRIBUTED_ASSIGNMENT_REPORT_CN.md,129,完全分布式协商原理,assets/distributed_consensus_principle.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/distributed_consensus_principle.png,present,tracked,1c15bc9b92d0234590d0724c052fd9cfdbb9d8b99af342b25a348324ffd0b797,510720
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,30,战场全景视图,assets/battlefield_panorama.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/battlefield_panorama.png,present,tracked,8ef70ceeb5c5e07de8cd1356af3a1f77a4d731d10530441b90c21bb7ce95192b,2337343
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,36,三层节点体系,assets/three_layer_architecture.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/three_layer_architecture.png,present,tracked,eaa1ee4e1cb172e13cb78393f9722fc1e459a9de800906aabc0d30bda25056fc,206381
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,54,完整拦截流程,assets/system_closed_loop.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/system_closed_loop.png,present,tracked,aee6b1ac8adf4ecaad055b0b74316768369ddd639896886486d78cd9e2b7f804,154523
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,97,雷达与光电分工,assets/sensor_roles.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/sensor_roles.png,present,tracked,86077f42edda0a1921c2d81dff5f856d3b0cf11b87d00475fe458a48dd153699,194646
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,99,传感器分段交接流程,assets/sensor_handover_flow.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/sensor_handover_flow.png,present,tracked,52099798e3a2697a39cbf23f95b97f50d1dcc768bcdc5196234542661029af90,187717
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,152,异步观测融合与状态估计流程,assets/fusion_estimation_flow.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/fusion_estimation_flow.png,present,tracked,fee0e18c8c5e008ba76de10dfd5f5b610d8adb7c4c5506a846e32767da9dae83,185964
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,164,五项关键技术,assets/five_capabilities.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/five_capabilities.png,present,tracked,643c6a33f40a5032099159840926202edf7747f90018613668dc42dae24a965f,188468
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,172,D1 多目标融合轨迹仿真结果,assets/d1_fusion_tracks.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/d1_fusion_tracks.png,present,tracked,ca357da99acab07250787f694fc9d722b7b854cd8b5e9d40743d2bda5646358e,84806
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,188,多目标交叉与稳定身份场景,assets/identity_crossing_scene.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/identity_crossing_scene.png,present,tracked,a01443c9398f099fbc814ef8c6746835205a2b5940f1e76529dee715210f8ffc,356602
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,198,M5N2 滚动资源规划场景,assets/rolling_assignment_scene.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/rolling_assignment_scene.png,present,tracked,f0ca362571d03a47520cf4da707712aef99b21ab05d9837c4ce59c90d28be3ae,223574
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,208,中心故障前后二级接管场景,assets/resilient_takeover_scene.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/resilient_takeover_scene.png,present,tracked,f075164cc1e82942a46b5221a394db531f5616a3e284393c0d2db68da60c42b1,253068
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,220,D5 末端视觉关联,assets/d5_terminal_association_scene.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/d5_terminal_association_scene.png,present,tracked,93e8fd1fee2fe92cc192731e29500d0849ea9e4137f3791cb87f7ddc7b5753c9,217874
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,228,D7 比例导引几何,assets/d7_proportional_guidance_scene.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/d7_proportional_guidance_scene.png,present,tracked,80fe959feb407ea7c9b2819a4d1e9cd120a8ac1e10f7c5c45950f57c23d232e7,186304
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,232,AirSim 三维受控拦截轨迹,assets/airsim_intercept_3d.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/airsim_intercept_3d.png,present,tracked,f54e093748d77130988bbc026ee35087325223d221789985aa49637fabf7f892,91963
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,303,版本化滚动资源分配闭环,assets/allocation_closed_loop.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/allocation_closed_loop.png,present,tracked,797e5e252a3e5005b4e028b93fe2ae34d10e001a7af01d4ce8ec2b512712fbeb,194948
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,326,网约车派单与空中闭环规划对比,assets/didi_vs_cuas_flow.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/didi_vs_cuas_flow.png,present,tracked,c8c775cf70cb049339eccb0f0f4c2f9f720fb5217c4bc18908553c583f28aece,214263
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,372,高威胁目标二主一备协同示意,assets/coalition_2plus1.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/coalition_2plus1.png,present,tracked,23c0d9dd29f2fd755bef6d23bc8895909c3f6d30f2d3ce714bcc0fa8f35807e7,199173
deliverables/leadership_report/C_UAS_PROJECT_LEADERSHIP_REPORT_CN.md,509,下一阶段路线图,assets/roadmap.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/roadmap.png,present,tracked,0d2d65c743758745c4547e1a5935f7887d8164f480a3224403a6f05069482e49,204452
deliverables/leadership_report/INTERCEPTION_REGION_REPARTITION_SOLUTION_CN.md,13,八区域空中二级节点体系,assets/eight_region_airborne_secondary_architecture.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/eight_region_airborne_secondary_architecture.png,present,tracked,c144ac9a6f17207cf735b811adaa4c2d6d4a7679cdedd50f5354da4183040f33,449753
deliverables/leadership_report/INTERCEPTION_REGION_REPARTITION_SOLUTION_CN.md,21,区域二级节点光电载荷,assets/secondary_eo_payload_parameters.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/secondary_eo_payload_parameters.png,present,tracked,3ea2d86518db9c9a141a07fd80ec0a6997423089316b9cc88bce9a0744d848a7,402383
deliverables/leadership_report/INTERCEPTION_REGION_REPARTITION_SOLUTION_CN.md,47,区域重划的主要难点,assets/region_repartition_difficulty.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/region_repartition_difficulty.png,present,tracked,4c3ae3b52f9b1debff8a540860b1001455247419b33d54305f23f0544cf0e515,344567
deliverables/leadership_report/INTERCEPTION_REGION_REPARTITION_SOLUTION_CN.md,61,区域重划的四个尺度,assets/region_four_level_structure.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/region_four_level_structure.png,present,tracked,a78492162803a2d1fb9fc1e3ac7aba6d5b9be96a2df7c08ba43410915d80d51f,211343
deliverables/leadership_report/INTERCEPTION_REGION_REPARTITION_SOLUTION_CN.md,73,区域重划强化学习的状态、动作和回报,assets/region_rl_state_action_reward.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/region_rl_state_action_reward.png,present,tracked,85caaa9c6e8e38e5e5130d713084f784430e60389877ed6d3b85eee6aae777a2,312287
deliverables/leadership_report/INTERCEPTION_REGION_REPARTITION_SOLUTION_CN.md,111,二级节点主持的区内责任区划分,assets/secondary_weighted_region_partition.png,/home/linux/Documents/MSM/deliverables/leadership_report/assets/secondary_weighted_region_partition.png,present,tracked,78ee641e591b96a25834149fd3235007b6725e04ee6975aa53d5dc93b119b747,331182
