evaluation_group,evaluation_subgroup,source_split,scenario_version,seed,episode,frame_index,timestamp_s,teacher_opportunity,r0_selected_edges,candidate_selected_edges,effective_selected_edges,candidate_binding_change_count,effective_binding_change_count,positive_teacher_exact_match,negative_exact_r0,ood,rejected,rejection_reasons,fallback_exact_r0_matrix,fallback_exact_r0_binding
source_independent_evaluation,source_independent_evaluation/train,train,center_failure-20v20-v1,20060,center_failure_20v20-s20060-9d117de63ece-r4dcb163981ae,0,0.85,0,"[[0,19],[1,0],[2,1],[3,2],[4,3],[5,4],[6,5],[7,6],[8,7],[9,8],[10,9],[11,10],[12,12],[13,13],[14,14],[15,15],[16,11],[17,16],[18,17],[19,18]]","[[0,19],[1,0],[2,1],[3,2],[4,3],[5,4],[6,5],[7,6],[8,7],[9,8],[10,9],[11,10],[12,12],[13,13],[14,14],[15,15],[16,11],[17,16],[18,17],[19,18]]","[[0,19],[1,0],[2,1],[3,2],[4,3],[5,4],[6,5],[7,6],[8,7],[9,8],[10,9],[11,10],[12,12],[13,13],[14,14],[15,15],[16,11],[17,16],[18,17],[19,18]]",0,0,0,1,0,0,,0,0
source_independent_evaluation,source_independent_evaluation/train,train,center_failure-20v20-v1,20060,center_failure_20v20-s20060-9d117de63ece-r4dcb163981ae,1,1.0,0,"[[0,19],[1,0],[2,1],[3,2],[4,3],[5,4],[6,5],[7,6],[8,7],[9,8],[10,9],[11,10],[12,12],[13,13],[14,14],[15,15],[16,11],[17,16],[18,17],[19,18]]","[[0,19],[1,0],[2,1],[3,2],[4,3],[5,4],[6,5],[7,6],[8,7],[9,8],[10,9],[11,10],[12,12],[13,13],[14,14],[15,15],[16,11],[17,16],[18,17],[19,18]]","[[0,19],[1,0],[2,1],[3,2],[4,3],[5,4],[6,5],[7,6],[8,7],[9,8],[10,9],[11,10],[12,12],[13,13],[14,14],[15,15],[16,11],[17,16],[18,17],[19,18]]",0,0,0,1,0,0,,0,0
source_independent_evaluation,source_independent_evaluation/train,train,center_failure-20v20-v1,20060,center_failure_20v20-s20060-9d117de63ece-r4dcb163981ae,2,1.0,0,"[[0,19],[1,0],[2,1],[3,2],[4,3],[5,4],[6,5],[7,6],[8,7],[9,8],[10,9],[11,10],[12,12],[13,13],[14,14],[15,15],[16,11],[17,16],[18,17],[19,18]]","[[0,19],[1,0],[2,1],[3,2],[4,3],[5,4],[6,5],[7,6],[8,7],[9,8],[10,9],[11,10],[12,12],[13,13],[14,14],[15,15],[16,11],[17,16],[18,17],[19,18]]","[[0,19],[1,0],[2,1],[3,2],[4,3],[5,4],[6,5],[7,6],[8,7],[9,8],[10,9],[11,10],[12,12],[13,13],[14,14],[15,15],[16,11],[17,16],[18,17],[19,18]]",0,0,0,1,0,0,,0,0
source_independent_evaluation,source_independent_evaluation/train,train,center_failure-20v20-v1,20061,center_failure_20v20-s20061-d65b70240b88-r4dcb163981ae,0,0.75,0,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19]]","[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19]]","[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19]]",0,0,0,1,0,0,,0,0
source_independent_evaluation,source_independent_evaluation/train,train,center_failure-20v20-v1,20061,center_failure_20v20-s20061-d65b70240b88-r4dcb163981ae,1,1.0,0,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19]]","[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19]]","[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19]]",0,0,0,1,0,0,,0,0
source_independent_evaluation,source_independent_evaluation/train,train,center_failure-20v20-v1,20061,center_failure_20v20-s20061-d65b70240b88-r4dcb163981ae,2,1.0,0,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19]]","[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19]]","[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19]]",0,0,0,1,0,0,,0,0
source_independent_evaluation,source_independent_evaluation/test,test,center_failure-20v20-v1,20062,center_failure_20v20-s20062-f9fb74943e68-r4dcb163981ae,0,0.85,0,"[[0,19],[1,0],[2,2],[3,3],[4,4],[5,5],[6,6],[7,1],[8,7],[9,8],[10,9],[11,10],[12,11],[13,12],[14,13],[15,14],[16,15],[17,16],[18,17],[19,18]]","[[0,19],[1,0],[2,2],[3,3],[4,4],[5,5],[6,6],[7,1],[8,7],[9,8],[10,9],[11,10],[12,11],[13,12],[14,13],[15,14],[16,15],[17,16],[18,17],[19,18]]","[[0,19],[1,0],[2,2],[3,3],[4,4],[5,5],[6,6],[7,1],[8,7],[9,8],[10,9],[11,10],[12,11],[13,12],[14,13],[15,14],[16,15],[17,16],[18,17],[19,18]]",0,0,0,1,0,0,,0,0
source_independent_evaluation,source_independent_evaluation/test,test,center_failure-20v20-v1,20062,center_failure_20v20-s20062-f9fb74943e68-r4dcb163981ae,1,1.0,0,"[[0,19],[1,0],[2,2],[3,3],[4,4],[5,5],[6,6],[7,1],[8,7],[9,8],[10,9],[11,10],[12,11],[13,12],[14,13],[15,14],[16,15],[17,16],[18,17],[19,18]]","[[0,19],[1,0],[2,2],[3,3],[4,4],[5,5],[6,6],[7,1],[8,7],[9,8],[10,9],[11,10],[12,11],[13,12],[14,13],[15,14],[16,15],[17,16],[18,17],[19,18]]","[[0,19],[1,0],[2,2],[3,3],[4,4],[5,5],[6,6],[7,1],[8,7],[9,8],[10,9],[11,10],[12,11],[13,12],[14,13],[15,14],[16,15],[17,16],[18,17],[19,18]]",0,0,0,1,0,0,,0,0
source_independent_evaluation,source_independent_evaluation/test,test,center_failure-20v20-v1,20062,center_failure_20v20-s20062-f9fb74943e68-r4dcb163981ae,2,2.0,1,"[[0,19],[1,0],[2,2],[3,3],[4,4],[5,1],[6,5],[7,6],[8,7],[9,8],[10,9],[11,10],[12,11],[13,12],[14,13],[15,14],[16,15],[17,16],[18,17],[19,18]]","[[0,19],[1,0],[2,2],[3,3],[4,4],[5,1],[6,6],[7,5],[8,7],[9,8],[10,9],[11,10],[12,11],[13,12],[14,13],[15,14],[16,15],[17,16],[18,17],[19,18]]","[[0,19],[1,0],[2,2],[3,3],[4,4],[5,1],[6,6],[7,5],[8,7],[9,8],[10,9],[11,10],[12,11],[13,12],[14,13],[15,14],[16,15],[17,16],[18,17],[19,18]]",4,4,0,0,0,0,,0,0
source_independent_evaluation,source_independent_evaluation/validation,validation,center_failure-20v20-v1,20063,center_failure_20v20-s20063-32b93bf2de0b-r4dcb163981ae,0,0.75,0,"[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11],[12,12],[13,13],[14,14],[15,15],[16,16],[17,17],[18,18],[19,19]]","[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11],[12,12],[13,13],[14,14],[15,15],[16,16],[17,17],[18,18],[19,19]]","[[0,0],[1,1],[2,2],[3,3],[4,4],[5,5],[6,6],[7,7],[8,8],[9,9],[10,10],[11,11],[12,12],[13,13],[14,14],[15,15],[16,16],[17,17],[18,18],[19,19]]",0,0,0,1,0,0,,0,0
